REF_AREA,Y_LE4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y_GE85,Under_20,Over_65,Total_Sum,Percent_Under_20,Percent_Over_65
ITA,2179673,2550829,2832669,2861564,2940341,3023461,3218898,3448061,3938328,4651185,4812457,4679549,3999690,3500887,3405047,2598363,2280943,2211228,10424735.0,10495581.0,59133173.0,0.1762925016724538,0.17749057707422533
JPN,4389342,5037801,5357136,5579706,6262945,6379418,6555619,7353877,8172701,9731668,9252489,7823957,7391383,7869020,9671500,6712350,5562998,6398380,20363985.0,28345228.0,125502290.0,0.16225986792750954,0.22585426927269614
KOR,1617527,2229491,2296616,2345904,3278877,3672722,3302395,3678606,3941302,4210888,4423203,4111535,4064463,2895582,2090931,1567531,1157941,859362,8489538.0,5675765.0,51744876.0,0.1640652883195623,0.10968747900758329
LTU,130349,143665,143216,129484,141114,165885,195712,191145,180229,191778,206189,215303,214028,160375,133954,107517,85830,72607,546714.0,399908.0,2808380.0,0.19467237339676255,0.14239810851807805
LUX,33490,34514,34030,33257,38736,48190,51485,49898,48638,46304,47096,44314,36144,28724,23191,16786,12795,12472,135291.0,65244.0,640064.0,0.2113710503949605,0.10193355664433557
LVA,96094,104634,100758,91705,82989,101656,134656,133889,122192,129296,128401,131373,134187,111858,94904,72481,65570,47845,393191.0,280800.0,1884488.0,0.2086460619542284,0.14900598995589254
MEX,10732197,11000967,11083131,11076419,10823411,10670774,10041442,9143294,8405040,7951363,7056428,5984670,4868182,3657843,2599494,1778501,1121512,977771,43892714.0,6477278.0,128972439.0,0.34032630801065955,0.05022218739307551
NLD,861140,897223,953734,1028545,1120187,1133725,1137483,1063029,1038769,1110513,1284601,1264526,1148079,1010547,956231,678832,453331,392553,3740642.0,2480947.0,17533048.0,0.213348072736697,0.14150118108385945
NOR,281501,309123,328166,317473,336667,366778,383509,360612,348548,368365,376286,343224,310459,281859,258549,198851,120461,117889,1236263.0,695750.0,5408320.0,0.22858540175137565,0.12864438494763625
NZL,305160,325350,337430,314170,331270,369760,382970,340630,312450,323210,330790,323460,297310,252780,219040,150980,103660,91000,1282110.0,564680.0,5111420.0,0.25083244969108387,0.11047419308137464
OECD,75198257.5706801,80899864.9065847,83658888.373357,83205123.0712868,88091899.3805089,90590930.7671187,92779331.1132889,92532972.5360559,91720332.0888835,91114931.5920598,91164042.0650746,88578403.0944713,81413822.1932111,71058789.1326883,62912384.1937739,44087819.8581352,32730897.6941271,32345573.1140168,322962133.9219086,172076674.860053,1374084262.7453227,0.2350380851292578,0.12523007469444125
POL,1876822,1905991,2072944,1802588,1940927,2348271,2784304,3211368,3079795,2742437,2299098,2294188,2628254,2509175,1956592,1044988,849171,815311,7658345.0,4666062.0,38162224.0,0.20067868686059806,0.12226913190384292
PRT,430362,436669.5,498908.5,530673,559822.5,544033.5,562600,643102,754850,802424.5,751108,745964.5,710240.5,654963.5,594275,470413.5,359770,357526.5,1896613.0,1781985.0,10407707.0,0.18223159049346796,0.1712178292490363
SVK,295445.5,291560.5,283097,259618.5,279406,339394,398090.5,429935.5,450563,422289.5,347802.5,355649,352070,337853,255645.5,159731,104045.5,79794.5,1129721.5,599216.5,5441991.0,0.2075934157186221,0.11010979253732688
SVN,98505,108389,110887,94478,102629,111445,132325,147435,161163,154391,147971,152636,144104,137282,111499,75057,61550,55261,412259.0,303367.0,2107007.0,0.19566095414016185,0.14398006271455197
SWE,591756,621978,624717,583773,578840,705036,750878,667355,636560,663784,666034,652156,569517,538476,543367,469905,286022,265658,2422224.0,1564952.0,10415812.0,0.23255258447445096,0.15024771952489158
TUR,6017659,6575398,6429045,6229912,6702608,6423927,6330341,6429896,6391136,5612964,4669558,4642384,3593155,3047582,2153365,1374032,861305,663059,25252014.0,5051761.0,84147326.0,0.3000928870871072,0.06003471815610635
USA,18676229,20055700,21196508,21571297,22489868,22394192,23034989,22207003,21038242,19747890,20847481,21459873,21083156,18238929,15183744,9917064,6422252,6467137,81499734.0,37990197.0,332031554.0,0.24545779766461592,0.11441742973621115
