TIME_PERIOD,REF_AREA,GDP,GDP_Growth_Rate
1980,AUS,155.158908760606,3.33986584500624
1980,AUT,79.4219965139266,1.73148542003554
1980,BEL,101.283010634728,4.47950122103899
1980,CAN,286.868678620479,2.17719921419924
1980,CHE,101.802428648214,4.60197737233717
1980,COL,61.0950462984513,4.15612226994243
1980,DEU,814.846532056071,1.40882865960016
1980,DNK,50.6138898737172,-0.482986397905799
1980,ESP,264.285938817662,2.20872812298243
1980,FIN,44.0063340356138,5.38904746801987
1980,FRA,533.860717812622,1.57874527928073
1980,GBR,485.846575971988,-2.03136778764367
1980,GRC,84.1033445387892,0.677131068534079
1980,IRL,22.4486774800407,3.07932919777102
1980,ISL,2.83660174627833,5.74792071024507
1980,ISR,33.4986641122423,1.67044165937136
1980,ITA,553.259823354617,3.43001638198643
1980,JPN,1050.47108990389,2.81759120758104
1980,KOR,91.5853387697199,-1.64568764044438
1980,LUX,4.68004492810714,0.840882927073436
1980,MEX,364.222660701853,8.32411389843002
1980,NLD,152.581698901803,3.25100416936548
1980,NOR,40.3021701344923,4.5642429885892
1980,NZL,26.509747146555,1.28428267191334
1980,PRT,56.6593984414442,4.58934013695125
1980,SWE,93.3491185058159,1.69997141828128
1980,TUR,182.464680262701,-2.4457892082703
1980,USA,2857.307,-0.256775736225362
1981,AUS,178.431331235316,3.32521416670675
1981,AUT,86.8115756817192,-0.144294507155641
1981,BEL,110.556923812088,-0.279283619223017
1981,CAN,324.81380209589,3.41506518679111
1981,CHE,113.219572624633,1.6013358701195
1981,COL,68.528285090308,2.4706974289583
1981,DEU,896.669048877806,0.52924053982538
1981,DNK,55.0339955546558,-0.666124081082161
1981,ESP,288.909836446036,-0.132468616771249
1981,FIN,48.8041397920872,1.31587885374919
1981,FRA,590.622468923708,1.069019827828
1981,GBR,527.628718985393,-0.787743836281843
1981,GRC,90.6309477657698,-1.55372122389946
1981,IRL,25.38990307652,3.32521579477502
1981,ISL,3.23743312044838,4.26500710375187
1981,ISR,38.6266669169725,5.33992694825307
1981,ITA,610.722797630975,0.84422762871652
1981,JPN,1198.85975253852,4.26062449362539
1981,KOR,107.515659972189,7.24617628510611
1981,LUX,5.09465311632296,-0.550950513724131
1981,MEX,433.743585708527,8.79403195962846
1981,NLD,165.710416826953,-0.783611603337132
1981,NOR,44.8207397128815,1.59834392279891
1981,NZL,29.7561961753512,4.65466266770554
1981,PRT,63.0241526067271,1.61810349301916
1981,SWE,102.646702384222,0.454830446796248
1981,TUR,209.474127286913,4.85516034753564
1981,USA,3207.041,2.53770126586744
1982,AUS,182.042926545161,-2.22447001663274
1982,AUT,94.0289016538154,2.01125437466051
1982,BEL,118.085865694743,0.594986944531083
1982,CAN,333.88938815814,-3.1661502658748
1982,CHE,118.640469855209,-1.30941744148856
1982,COL,73.582394706621,1.12730169851253
1982,DEU,948.308498357371,-0.394840747565163
1982,DNK,60.5871917176607,3.68457289476815
1982,ESP,310.583093988487,1.24646172075571
1982,FIN,53.4299824957545,3.10808869307026
1982,FRA,642.824369325514,2.50539658034415
1982,GBR,571.402954210682,1.99489122986835
1982,GRC,95.1404151760824,-1.13264752853767
1982,IRL,27.5741490455334,2.28346845346068
1982,ISL,3.51151300858673,2.1545662418718
1982,ISR,41.8674590944775,2.08249997265472
1982,ITA,651.136791987095,0.413585662198255
1982,JPN,1314.67730232479,3.27974274271184
1982,KOR,123.676870932894,8.33807808691536
1982,LUX,5.47061091426101,1.13129699873561
1982,MEX,457.284876107102,-0.707068650801747
1982,NLD,173.76535912261,-1.24075676832773
1982,NOR,47.7018734862234,0.235322431843404
1982,NZL,33.183453889459,0.930118712519887
1982,PRT,68.3469026403152,2.13537527402142
1982,SWE,110.349390706177,1.24866467651455
1982,TUR,230.300811694475,3.562828267506
1982,USA,3343.789,-1.80301378017963
1983,AUS,196.748099358816,4.5917108538037
1983,AUT,100.616870580859,2.9730880104165
1983,BEL,123.093701353239,0.311842729140574
1983,CAN,355.992912794172,2.56225360665304
1983,CHE,124.075267905949,0.639079457997202
1983,COL,77.7728169507605,1.71109476900458
1983,DEU,1000.94705758094,1.57241014799154
1983,DNK,64.594756125526,2.59607192385981
1983,ESP,328.460989510072,1.77011576459573
1983,FIN,57.2531311843793,3.11658151416628
1983,FRA,676.291435557299,1.240864906831
1983,GBR,618.852278469949,4.22185634719646
1983,GRC,97.8004637194524,-1.07862237370918
1983,IRL,28.5841671840278,-0.244301147913776
1983,ISL,3.57055413082891,-2.15116170128198
1983,ISR,44.9686834402001,3.35910154924574
1983,ITA,684.551744049622,1.16920349694201
1983,JPN,1415.76510364733,3.63019857255489
1983,KOR,145.712222221154,13.3761744903694
1983,LUX,5.85480861054076,2.98907679147201
1983,MEX,454.782504052633,-4.29585790728982
1983,NLD,184.309126884763,2.06995806102771
1983,NOR,51.5396842730316,3.97300738250756
1983,NZL,36.1043813145009,3.49217897417243
1983,PRT,70.9009489769383,-0.173113066150162
1983,SWE,116.851031377002,1.90063868844903
1983,TUR,251.193278576776,4.96905781976638
1983,USA,3634.038,4.58379097983199
1984,AUS,212.02337904944,5.27852845706781
1984,AUT,104.300283192657,0.051275236201942
1984,BEL,130.680048826349,2.46638265896655
1984,CAN,390.628604453416,5.8985694633093
1984,CHE,132.418954875828,3.00845641095845
1984,COL,83.0080154377659,3.01492852239887
1984,DEU,1066.33388952419,2.82294783400546
1984,DNK,69.7133379917244,4.16613796721728
1984,ESP,346.384378032676,1.78468752795063
1984,FIN,61.2392103364428,3.23769199585604
1984,FRA,711.296538015635,1.51372157298027
